eventID;lnr;;period;dam;prove;N_daph;N_cop;N_naup;N_bos;l_daph_mm;l_cop_mm;l_naup_mm;l_bos_mm;m_daph_ug;m_cop_ug;m_naup_ug;m_bos_ug;B_daph_ugL;B_cop_ugL;B_naup_ugL;B_bos_ugL;period;dam;prove;N_daph_1;N_cop_1;N_naup_1;N_bos_1;B_daph_ugL_1;B_cop_ugL_1;B_naup_ugL_1;B_bos_ugL_1;comments;
8fa038f9-837f-4bc5-9fe5-f6bff501ce71;107;04.08.2013;3;15;2;52;22;1;0;1.266;0.759;0.313;NA;5.798;5.292;1.586;NA;15.07559553;5.820667445;0.079315743;0;3;15;2;3;12;0;0;0.38884317;2.898177783;0;0;NA;
83965d31-9892-475e-a6ec-c6ab7edc1bb0;108;04.08.2013;3;15;3;49;21;0;0;1.266;0.759;0.313;NA;5.798;5.292;NA;NA;14.20584963;5.556091652;0;0;3;15;3;0;17;7;0;0;4.105751859;0.487275206;0;NA;
b6b05b6d-17fa-4a65-8474-03e557494462;109;04.08.2013;3;16;1;17;1;0;0;2.275;0.68;NA;NA;11.917;4.715;NA;NA;10.12978518;0.235730856;0;0;3;16;1;21;0;0;0;11.78739807;0;0;0;NA;
b716a9c7-f3de-468d-b9a1-ad39efacf470;110;04.08.2013;3;16;2;25;0;0;0;2.275;0.68;NA;NA;11.917;NA;NA;NA;14.89674292;0;0;0;3;16;2;29;0;0;0;16.27783543;0;0;0;NA;
49a1c45d-da24-4318-a245-75c83f43ae71;111;04.08.2013;3;16;3;4;0;0;0;2.275;0.68;NA;NA;11.917;NA;NA;NA;2.383478867;0;0;0;3;16;3;16;0;0;0;8.98087472;0;0;0;NA;
2425f9fe-bb15-4c31-b3e6-da3ff7c24be2;112;04.08.2013;3;17;1;73;0;0;0;2.04;NA;NA;NA;10.422;NA;NA;NA;38.04142189;0;0;0;3;17;1;21;0;0;0;7.893804004;0;0;0;NA;
b43c350a-709d-4147-a391-0964bd6ce38a;113;04.08.2013;3;17;2;45;0;0;0;2.04;NA;NA;NA;10.422;NA;NA;NA;23.45019157;0;0;0;3;17;2;41;10;0;0;15.41171258;2.357830252;0;0;NA;
fe35a043-f4c2-431f-ae71-27abac2c216e;114;04.08.2013;3;17;3;21;0;0;0;2.04;NA;NA;NA;10.422;NA;NA;NA;10.94342273;0;0;0;3;17;3;7;2;0;0;2.631268001;0.47156605;0;0;NA;
bc171155-aae5-46e6-88cd-c271aa3f87a8;115;04.08.2013;3;18;1;110;131;0;0;1.733;0.99;0.377;NA;8.531;6.978;NA;NA;46.92287734;45.70382964;0;0;3;18;1;364;160;0;0;107.8012718;53.4887761;0;0;NA;
20b0d33f-f3ae-4693-8534-b613b3eb23ae;116;04.08.2013;3;18;2;201;72;23;0;1.733;0.99;0.377;NA;8.531;6.978;1.647;NA;85.74089406;25.11966209;1.893860027;0;3;18;2;264;164;0;0;78.18553781;54.82599551;0;0;NA;
e6051207-033a-4af0-aa2b-9d5bce00228b;117;04.08.2013;3;18;3;192;67;7;0;1.733;0.99;0.377;NA;8.531;6.978;1.647;NA;81.90174955;23.37524111;0.576392182;0;3;18;3;660;172;0;0;195.4638445;57.50043431;0;0;NA;
377c7ac4-0f51-4944-ad57-81eb52679d43;118;04.08.2013;3;19;1;2;40;73;0;1.295;0.705;0.253;NA;5.964;4.897;1.519;NA;0.596446675;9.794587653;5.544000258;0;3;19;1;0;14;10;0;0;3.027458961;0.815937179;0;NA;
994fa5c3-ef02-43e9-948b-35dd3fa3cd2c;119;04.08.2013;3;19;2;0;366;73;0;1.295;0.705;0.253;NA;NA;4.897;1.519;NA;0;89.62047703;5.544000258;0;3;19;2;0;15;13;0;0;3.24370603;1.060718333;0;NA;
cc569b2a-8390-4ca0-b9fa-c30436a2dca8;120;04.08.2013;3;19;3;0;55;30;0;1.295;0.705;0.253;NA;NA;4.897;1.519;NA;0;13.46755802;2.27835627;0;3;19;3;0;16;16;0;0;3.459953099;1.305499487;0;NA;
d82e849c-ff98-43cd-acab-8859046164f4;121;04.08.2013;3;20;1;31;28;12;0;1.509;1.167;0.34;NA;7.196;8.279;1.613;NA;11.15364991;11.59115268;0.96794532;0;3;20;1;59;25;2;0;15.27591843;9.941762447;0.155998651;0;ikke_bilde_av_daphn_i_foto._Brukt_gj.snitt_fra_periode_1;2_og_4
16e3239d-8317-4c06-b711-d92cca05e6bc;122;04.08.2013;3;20;2;41;17;24;0;1.509;1.167;0.34;NA;7.196;8.279;1.613;NA;14.75160149;7.037485556;1.935890639;0;3;20;2;182;43;0;0;47.12232465;17.09983141;0;0;ikke_bilde_av_daphn_i_foto._Brukt_gj.snitt_fra_periode_1;2_og_5
2db4af3c-e5af-43a3-87c9-748e1dce3246;123;04.08.2013;3;20;3;51;38;22;0;1.509;1.167;0.34;NA;7.196;8.279;1.613;NA;18.34955307;15.73085007;1.774566419;0;3;20;3;21;60;0;0;5.437191306;23.86022987;0;0;ikke_bilde_av_daphn_i_foto._Brukt_gj.snitt_fra_periode_1;2_og_6
f4aa5e7e-5ce3-4bd7-b802-1e245dbd8bb9;124;05.08.2013;3;21;1;66;133;1042;0;2.051;1.107;0.247;NA;10.492;7.84;1.512;NA;34.62489755;52.13927402;78.74923874;0;3;21;1;52;124;1320;0;24.86819517;36.95956798;97.16528225;0;NA;
164817f2-1dc7-470c-bcac-73be5b8e227c;125;05.08.2013;3;21;2;5;40;915;0;2.051;1.107;0.247;NA;10.492;7.84;1.512;NA;2.623098299;15.68098467;69.15120292;0;3;21;2;74;79;1072;0;35.38935466;23.54682153;78.9099868;0;NA;
219de6f5-afb9-458e-b285-1807944d7b5e;126;05.08.2013;3;21;3;9;109;976;0;2.051;1.107;0.247;NA;10.492;7.84;1.512;NA;4.721576939;42.73068322;73.76128312;0;3;21;3;19;58;489;0;9.086455926;17.28753986;35.99532047;0;NA;
9eb78d40-fdec-4624-8e49-9952b5d07956;127;26.07.2013;2;1;1;0;191;46;0;NA;0.802;0.287;NA;NA;5.603;1.558;NA;0;53.50598402;3.583002279;0;2;1;1;1;98;98;0;0.233944898;16.52750871;7.769929319;0;NA;
71eb6ce5-6c04-41d0-9eff-2e95a0db0118;128;26.07.2013;2;1;2;3;123;46;0;1.71;0.802;0.287;NA;8.39;5.603;1.558;NA;1.258525403;34.45673317;3.583002279;0;2;1;2;0;12;12;0;0;2.023776577;0.951419917;0;NA;
cd79eeb1-5008-4544-9c1f-04d497fc7f18;129;26.07.2013;2;1;3;0;25;0;0;1.71;0.802;0.287;NA;NA;5.603;NA;NA;0;7.00340105;0;0;2;1;3;0;12;12;0;0;2.023776577;0.951419917;0;NA;
00db05e5-1677-486e-8282-f255dc3835d4;130;25.07.2013;2;2;1;0;0;0;31;NA;NA;NA;0.617;NA;NA;NA;11.612;0;0;0;17.99842658;2;2;1;0;0;0;50;0;0;0;27.32293519;NA;
46107206-78a8-46f5-b0af-9bd0ac26764d;131;25.07.2013;2;2;2;0;0;0;41;NA;NA;NA;0.617;NA;NA;NA;11.612;0;0;0;23.80437063;2;2;2;0;0;0;30;0;0;0;16.39376111;NA;
42aca55d-0da8-4450-b829-db3253b5b96f;132;25.07.2013;2;2;3;0;0;0;117;NA;NA;NA;0.617;NA;NA;NA;11.612;0;0;0;67.92954547;2;2;3;0;0;0;30;0;0;0;16.39376111;NA;
d741b53a-db9a-4225-a43e-2f9c16ed19d8;133;25.07.2013;2;3;1;0;9;5;0;NA;0.655;0.278;NA;NA;4.537;1.548;NA;0;2.041437736;0.386948005;0;2;3;1;0;5;1;0;0;1.0201039;0.074259592;0;NA;
